RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,P+R,P+A,P+R+A,VI,ORtg,DRtg,PpG_Per36,RpG_Per36,ApG_Per36,SpG_Per36,BpG_Per36,TOpG_Per36,FTA_Per36,2PA_Per36,3PA_Per36
,Domantas Sabonis,Sac,*,F-C,28.9,70,34.7,21.6,18.5,289,0.754,736,0.628,156,0.417,0.627,0.656,33.0,25.1,39.0,13.5,127.8,106.0,19.8,14.4,6.2,0.7,0.4,3.0,4.3,10.9,2.3
,Malik Beasley,Det,*,G,28.4,82,27.8,22.5,7.2,140,0.679,305,0.466,766,0.416,0.579,0.59,18.9,18.0,20.6,6.0,116.1,113.7,21.1,3.4,2.2,1.2,0.1,1.3,2.2,4.8,12.1
,Kris Dunn,Lac,*,G,31.1,74,24.1,12.7,14.5,22,0.682,213,0.549,224,0.335,0.525,0.531,9.8,9.2,12.6,6.5,111.1,100.8,9.6,5.1,4.2,2.5,0.6,1.5,0.4,4.3,4.5
,Buddy Hield,Gol,*,G,32.3,82,22.7,20.5,10.4,65,0.831,237,0.527,549,0.37,0.546,0.56,14.4,12.8,16.0,6.8,108.3,108.9,17.6,5.1,2.5,1.3,0.5,1.7,1.3,4.6,10.6
,Jamal Murray,Den,*,G,28.1,67,36.1,24.0,11.0,246,0.886,724,0.518,397,0.393,0.543,0.584,25.3,27.4,31.4,8.8,119.2,115.1,21.3,3.9,6.0,1.4,0.5,2.1,3.7,10.8,5.9
,Jakob Poeltl,Tor,*,C,29.5,57,29.6,18.7,16.1,144,0.674,576,0.628,3,0.333,0.628,0.641,24.1,17.2,26.8,9.9,121.1,104.9,17.6,11.7,3.4,1.5,1.5,2.3,3.1,12.3,0.1
,Taurean Prince,Mil,*,F,31.1,80,27.1,12.5,13.8,48,0.813,179,0.492,335,0.439,0.6,0.613,11.8,10.1,13.7,5.6,114.0,108.9,10.9,4.8,2.5,1.3,0.3,1.3,0.8,3.0,5.6
,Jaylen Brown,Bos,*,G-F,28.5,63,34.3,28.9,12.7,322,0.764,760,0.529,358,0.324,0.515,0.555,28.0,26.7,32.6,9.7,112.1,106.9,23.3,6.1,4.7,1.3,0.3,2.7,5.4,12.7,6.0
,Georges Niang,Cle,,F,31.8,51,20.7,16.5,12.1,29,0.793,123,0.618,225,0.4,0.606,0.617,12.4,10.0,13.7,6.7,116.8,103.5,15.1,6.4,2.3,0.5,0.2,1.6,1.0,4.2,7.7
,Pascal Siakam,Ind,*,F,31.0,78,32.7,24.2,8.4,308,0.734,858,0.568,324,0.389,0.572,0.599,27.2,23.6,30.5,9.5,120.3,110.3,22.2,7.6,3.7,1.0,0.6,1.5,4.3,12.1,4.6
,Guerschon Yabusele,Phi,*,F,29.3,70,27.1,16.3,13.4,138,0.725,289,0.616,274,0.38,0.593,0.616,16.6,13.1,18.7,7.5,121.7,112.7,14.6,7.4,2.8,1.1,0.4,1.6,2.6,5.5,5.2
,Ivica Zubac,Lac,*,C,28.1,80,32.8,19.5,11.9,236,0.661,942,0.628,0,0.0,0.628,0.641,29.4,19.4,32.1,10.1,128.8,104.7,18.4,13.8,3.0,0.8,1.2,1.8,3.2,12.9,0.0
,Dorian Finney-Smith,Lal,*,F,31.9,43,28.9,11.4,12.1,21,0.714,70,0.571,206,0.398,0.591,0.598,11.6,9.3,12.9,4.7,116.4,112.4,9.8,4.5,1.7,1.1,0.4,1.1,0.6,2.0,6.0
,Fred VanVleet,Hou,*,G,31.1,60,35.2,17.6,10.3,136,0.816,298,0.43,461,0.345,0.483,0.515,17.8,19.6,23.3,7.5,116.4,108.5,14.4,3.8,5.7,1.6,0.4,1.5,2.3,5.1,7.9
,Derrick Jones Jr.,Lac,*,F,28.2,77,24.3,16.5,10.1,118,0.703,370,0.627,219,0.356,0.593,0.609,13.6,10.9,14.3,5.0,118.1,106.5,15.0,5.0,1.2,1.5,0.6,1.3,2.3,7.1,4.2
,De'Aaron Fox,Sac,,G,27.3,45,37.0,29.1,13.1,246,0.829,597,0.539,286,0.322,0.521,0.567,30.0,31.1,36.1,9.9,113.2,112.6,24.3,4.9,5.9,1.5,0.4,2.9,5.3,12.9,6.2
,Jayson Tatum,Bos,*,F-G,27.1,72,36.4,31.2,12.5,440,0.814,737,0.559,728,0.343,0.537,0.582,35.5,32.8,41.5,12.3,117.0,105.7,26.5,8.6,5.9,1.1,0.5,2.9,6.0,10.1,10.0
,Malik Monk,Sac,*,G,27.2,65,31.6,24.6,14.5,178,0.865,511,0.534,428,0.325,0.513,0.549,21.0,22.8,26.5,9.1,109.9,112.6,19.6,4.3,6.4,1.0,0.7,2.7,3.1,9.0,7.5
,Lauri Markkanen,Uta,*,F-C,27.9,47,31.4,24.0,8.6,185,0.876,301,0.525,399,0.346,0.521,0.571,24.9,20.5,26.4,7.0,114.9,118.6,21.8,6.8,1.7,0.8,0.5,1.6,4.5,7.3,9.7
